Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.0%,58%,74238,Below Threshold,"$37,069",Below 1.5%,80,Very Friendly,Austria,25,,33792,"$32,816",$305B,10.4%,"$3,863",170,0.004,58%,,82,77,105%,1,0.16,0.679,0.161,8.2M,65.8%,Europe,$18B,$11B,12/1/2005
1.0%,54%,98675,Below Threshold,"$21,635",Below 1.5%,80,Friendly,Greece,38,,30248,"$18,752",$240B,9.7%,"$2,093",264,0.005,24%,,82,77,93%,1,0.144,0.671,0.186,11.1M,74.5%,Europe,$13B,$3B,12/1/2005
1.0%,77%,473380,Below Threshold,"$30,878",Below 1.5%,81,Friendly,Italy,13,,183873,"$28,128","$1,790B",8.7%,"$2,672",340,0.004,35%,0.053,84,78,122%,1,0.141,0.663,0.196,58.0M,67.7%,Europe,$38B,$27B,12/1/2005
1.0%,29%,41375,Below Threshold,"$51,767",Below 1.5%,82,Very Friendly,Switzerland,18,,25941,"$51,568",$385B,10.9%,"$5,637",63,0.004,70%,0.031,84,79,92%,1,0.163,0.679,0.158,7.4M,73.5%,Europe,$12B,$11B,12/1/2005
1.0%,,,Below Threshold,"$46,194",Below 1.5%,82,Friendly,San Marino,,,,"$42,192",$1B,5.3%,"$3,399",,0.004,50%,0.072,85,79,58%,1,,,,0.0M,94.0%,Europe,,,12/1/2005
1.1%,,,Below Threshold,"$36,290",Below 1.5%,,Not Clustered,Isle of Man,,,,"$32,816",$3B,,,,,,,,,,1,,,,0.1M,51.9%,Europe,,,12/1/2005
1.1%,,576,Below Threshold,"$31,269",Below 1.5%,,Not Clustered,Andorra,,,,"$28,128",$3B,5.8%,"$2,356",,0.003,38%,,,,80%,1,,,,0.1M,90.3%,Europe,,,12/1/2005
1.1%,50%,16780,Below Threshold,"$10,264",Below 1.5%,73,Very Friendly,Estonia,35,,5164,"$9,376",$14B,5.0%,$513,81,0.006,62%,0.049,78,67,109%,1,0.153,0.679,0.168,1.4M,68.7%,Europe,$1B,$1B,12/1/2005
1.1%,20%,11280,Below Threshold,"$2,864",Below 1.5%,75,Very Friendly,North Macedonia,48,,2842,$0,$6B,8.1%,$231,192,0.012,27%,0.121,77,72,54%,1,0.198,0.69,0.112,2.1M,57.5%,Europe,$0B,$0B,12/1/2005
1.1%,50%,54646,Below Threshold,"$37,361",Below 1.5%,79,Very Friendly,Finland,14,,34263,"$32,816",$196B,8.4%,"$3,151",269,0.003,75%,,82,76,101%,1,0.174,0.667,0.159,5.2M,82.9%,Europe,$3B,$4B,12/1/2005
1.1%,60%,108525,Below Threshold,"$35,978",Below 1.5%,79,Very Friendly,Belgium,34,,58688,"$32,816",$377B,10.0%,"$3,606",156,0.004,56%,0.067,82,76,91%,1,0.171,0.657,0.173,10.5M,97.4%,Europe,$11B,$17B,12/1/2005
1.1%,,,Below Threshold,"$105,307",Below 1.5%,81,Not Clustered,Liechtenstein,,,,"$103,136",$4B,,,,,63%,,84,77,79%,1,,,,0.0M,14.7%,Europe,,,12/1/2005
1.1%,62%,353462,Below Threshold,"$25,886",Below 1.5%,81,Very Friendly,Spain,47,,141914,"$23,440","$1,130B",8.3%,"$2,178",298,0.005,48%,,84,77,98%,1,0.145,0.688,0.168,43.7M,77.3%,Europe,$53B,$18B,12/1/2005
1.1%,54%,51562,Below Threshold,"$41,087",Below 1.5%,81,Very Friendly,Sweden,16,,51569,"$37,504",$371B,9.1%,"$3,726",122,0.003,85%,0.033,83,78,101%,1,0.174,0.653,0.173,9.0M,84.3%,Europe,$8B,$11B,12/1/2005
1.2%,48%,4895,Below Threshold,$831,Below 1.5%,68,Friendly,Moldova,30,,3500,$0,$3B,9.2%,$76,234,0.019,15%,0.193,72,64,29%,1,0.19,0.698,0.112,3.6M,45.3%,Europe,$0B,$0B,12/1/2005
1.2%,33%,47099,Below Threshold,"$47,606",Below 1.5%,78,Very Friendly,Denmark,6,,18888,"$46,880",$258B,9.8%,"$4,652",135,0.004,83%,,80,76,101%,1,0.187,0.661,0.151,5.4M,85.9%,Europe,$5B,$7B,12/1/2005
1.2%,,7503,Below Threshold,"$16,461",Below 1.5%,79,Very Friendly,Cyprus,,,2219,"$14,064",$17B,6.4%,"$1,434",,0.004,33%,0.071,81,77,76%,1,0.2,0.693,0.107,1.0M,68.3%,Europe,$3B,$1B,12/1/2005
1.2%,35%,541986,Below Threshold,"$38,410",Below 1.5%,79,Very Friendly,United Kingdom,13,,222638,"$37,504","$2,320B",8.3%,"$3,161",105,0.005,70%,0.046,81,77,109%,1,0.179,0.661,0.16,60.4M,79.9%,Europe,$39B,$73B,12/1/2005
1.2%,,11544,Below Threshold,"$80,925",Below 1.5%,80,Friendly,Luxembourg,,,4382,"$79,696",$38B,7.9%,"$6,485",,0.003,70%,,82,77,111%,1,0.186,0.67,0.144,0.5M,86.6%,Europe,$4B,$3B,12/1/2005
1.2%,48%,172228,Below Threshold,"$39,093",Below 1.5%,80,Very Friendly,Netherlands,9,,78824,"$37,504",$638B,10.9%,"$4,261",250,0.005,81%,0.028,82,77,97%,1,0.184,0.675,0.14,16.3M,82.6%,Europe,$17B,$17B,12/1/2005
1.2%,41%,42438,Below Threshold,"$65,754",Below 1.5%,81,Very Friendly,Norway,8,,26771,"$65,632",$304B,9.5%,"$6,293",87,0.003,82%,0.04,83,78,103%,1,0.196,0.656,0.147,4.6M,77.5%,Europe,$4B,$10B,12/1/2005
1.3%,,2057,Below Threshold,"$3,665",Below 1.5%,74,Very Friendly,Montenegro,,,987,$0,$2B,8.7%,$319,,0.01,27%,,76,71,88%,1,0.201,0.67,0.129,0.6M,62.2%,Europe,,,12/1/2005
1.3%,65%,392072,Below Threshold,"$33,873",Below 1.5%,81,Very Friendly,France,7,,270660,"$32,816","$2,140B",11.0%,"$3,750",132,0.004,43%,,84,77,78%,1,0.185,0.651,0.164,63.2M,77.1%,Europe,$52B,$39B,12/1/2005
1.4%,58%,4254,Below Threshold,"$2,799",Below 1.5%,76,Friendly,Albania,41,,2172,$0,$8B,6.3%,$160,364,0.018,6%,0.131,79,73,48%,1,0.265,0.649,0.085,3.0M,46.7%,Europe,$1B,$1B,12/1/2005
1.4%,26%,2204,Below Threshold,"$54,885",Below 1.5%,82,Very Friendly,Iceland,5,,3480,"$51,568",$16B,9.6%,"$5,329",140,0.002,87%,0.148,84,80,95%,1,0.221,0.662,0.117,0.3M,93.0%,Europe,$1B,$1B,12/1/2005
1.5%,25%,43535,Below Threshold,"$48,799",1.5-3%,79,Very Friendly,Ireland,18,,14330,"$46,880",$203B,7.6%,"$3,734",76,0.004,42%,0.026,81,77,103%,1,0.206,0.684,0.111,4.2M,60.5%,Europe,$7B,$6B,12/1/2005
1.9%,53%,237369,Below Threshold,"$7,130",1.5-3%,73,Friendly,Turkey,6,,84379,"$4,688",$483B,5.4%,$366,254,0.026,16%,,76,69,64%,1,0.285,0.649,0.066,67.7M,67.8%,Europe,$21B,$4B,12/1/2005
2.1%,,,Below Threshold,"$2,194",1.5-3%,69,Friendly,Kosovo,,,1946,$0,$4B,,,,,,0.14,71,67,,1,,,,1.7M,,Europe,,,12/1/2005
,,,Below Threshold,"$42,402",Above 3%,,Not Clustered,Isle of Man,,,,"$42,192",$3B,,,,,,,,,,1,,,,0.1M,51.9%,Europe,,,12/1/2006
,,,Below Threshold,"$135,689",Above 3%,,Not Clustered,Monaco,,,,"$131,264",$5B,3.8%,"$5,115",,0.004,62%,,,,53%,1,,,,0.0M,100.0%,Europe,,,12/1/2006
,,766,Below Threshold,"$39,870",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$37,504",$2B,,,,,69%,,82,77,101%,1,,,,0.0M,40.1%,Europe,,,12/1/2006
0.8%,43%,27169,Below Threshold,"$3,200",Below 1.5%,76,Moderate,Bosnia and Herzegovina,63,,5301,$0,$12B,8.5%,$275,368,0.007,25%,0.08,78,73,49%,1,0.186,0.678,0.136,3.9M,39.2%,Europe,$1B,$0B,12/1/2006
0.8%,47%,808860,Below Threshold,"$35,204",Below 1.5%,79,Very Friendly,Germany,24,,340492,"$32,816","$2,900B",10.6%,"$3,746",196,0.004,72%,,82,76,102%,1,0.141,0.665,0.194,82.4M,73.5%,Europe,$46B,$86B,12/1/2006
0.9%,21%,23175,Below Threshold,"$11,229",Below 1.5%,76,Friendly,Croatia,25,,8944,"$9,376",$50B,7.0%,$790,196,0.006,38%,0.099,79,73,100%,1,0.158,0.67,0.172,4.4M,56.6%,Europe,$8B,$1B,12/1/2006
0.9%,39%,16245,Below Threshold,"$19,406",Below 1.5%,79,Very Friendly,Slovenia,60,,7321,"$18,752",$39B,8.3%,"$1,610",260,0.003,54%,0.074,82,75,91%,1,0.14,0.702,0.158,2.0M,50.4%,Europe,$2B,$1B,12/1/2006
0.9%,,2574,Below Threshold,"$15,766",Below 1.5%,80,Friendly,Malta,,,834,"$14,064",$6B,9.0%,"$1,445",,0.006,40%,0.057,82,77,83%,1,0.168,0.696,0.136,0.4M,93.9%,Europe,$1B,$0B,12/1/2006
0.9%,52%,71565,Below Threshold,"$39,305",Below 1.5%,80,Very Friendly,Austria,25,,33799,"$37,504",$325B,10.2%,"$4,016",170,0.004,64%,,83,77,112%,1,0.158,0.679,0.164,8.3M,65.8%,Europe,$19B,$12B,12/1/2006
1.0%,51%,1669618,Below Threshold,"$6,948",Below 1.5%,67,Moderate,Russia,29,,670673,"$4,688",$990B,5.3%,$365,448,0.013,18%,0.104,73,60,105%,1,0.149,0.713,0.138,142.5M,73.5%,Europe,$10B,$19B,12/1/2006
1.0%,57%,326480,Below Threshold,"$2,308",Below 1.5%,68,Moderate,Ukraine,33,,137333,$0,$108B,6.4%,$147,"2,085",0.012,5%,0.152,74,62,105%,1,0.143,0.697,0.16,46.8M,68.0%,Europe,$4B,$3B,12/1/2006
1.0%,137%,61829,Below Threshold,"$3,849",Below 1.5%,70,Friendly,Belarus,69,,28621,$0,$37B,6.3%,$243,987,0.007,16%,0.088,76,64,62%,1,0.152,0.702,0.147,9.6M,72.8%,Europe,$0B,$1B,12/1/2006
1.0%,48%,14294,Below Threshold,"$9,250",Below 1.5%,71,Very Friendly,Lithuania,26,,8718,"$4,688",$30B,6.2%,$552,166,0.008,44%,0.051,77,65,146%,1,0.163,0.685,0.153,3.3M,66.7%,Europe,$1B,$1B,12/1/2006
1.0%,36%,7583,Below Threshold,"$8,986",Below 1.5%,72,Very Friendly,Latvia,16,,4688,"$4,688",$20B,6.8%,$590,320,0.01,54%,0.073,77,66,99%,1,0.144,0.681,0.175,2.2M,68.0%,Europe,$1B,$1B,12/1/2006
1.0%,48%,102595,Below Threshold,"$5,804",Below 1.5%,73,Friendly,Romania,11,,39936,"$4,688",$123B,5.1%,$289,193,0.017,25%,0.14,76,69,73%,1,0.152,0.7,0.149,21.2M,53.3%,Europe,$2B,$1B,12/1/2006
1.0%,42%,48943,Below Threshold,"$4,313",Below 1.5%,73,Friendly,Bulgaria,32,,20459,$0,$33B,6.9%,$297,616,0.013,27%,0.089,76,69,108%,1,0.135,0.69,0.176,7.7M,70.9%,Europe,$3B,$2B,12/1/2006
1.0%,56%,57235,Below Threshold,"$11,220",Below 1.5%,73,Friendly,Hungary,38,,27330,"$9,376",$113B,8.3%,$922,340,0.007,47%,0.081,77,69,99%,1,0.153,0.688,0.159,10.1M,66.9%,Europe,$5B,$2B,12/1/2006
1.0%,47%,38929,Below Threshold,"$12,842",Below 1.5%,74,Very Friendly,Slovakia,27,,18640,"$9,376",$69B,7.3%,$761,325,0.008,56%,0.077,78,70,91%,1,0.163,0.719,0.118,5.4M,55.4%,Europe,$2B,$1B,12/1/2006
1.0%,36%,53766,Below Threshold,"$3,943",Below 1.5%,74,Friendly,Serbia,23,,17064,$0,$29B,9.4%,$371,279,0.007,27%,0.166,76,71,82%,1,0.178,0.682,0.14,7.4M,54.8%,Europe,$0B,$0B,12/1/2006
1.0%,43%,320004,Below Threshold,"$8,967",Below 1.5%,76,Very Friendly,Poland,31,,97241,"$4,688",$342B,6.2%,$554,418,0.006,45%,0.055,80,71,96%,1,0.16,0.707,0.133,38.1M,61.3%,Europe,$8B,$8B,12/1/2006
1.0%,48%,122764,Below Threshold,"$14,455",Below 1.5%,77,Friendly,Czech Republic,24,,45904,"$14,064",$148B,6.7%,$969,930,0.004,48%,0.056,80,74,121%,1,0.145,0.712,0.143,10.2M,73.5%,Europe,$7B,$3B,12/1/2006
1.0%,44%,59108,Below Threshold,"$19,197",Below 1.5%,79,Very Friendly,Portugal,7,,24698,"$18,752",$202B,10.0%,"$1,915",328,0.004,38%,,82,75,116%,1,0.155,0.672,0.173,10.5M,58.1%,Europe,$10B,$4B,12/1/2006
1.0%,50%,97286,Below Threshold,"$23,544",Below 1.5%,80,Friendly,Greece,38,,30223,"$23,440",$262B,9.7%,"$2,293",264,0.005,32%,,82,77,99%,1,0.144,0.669,0.187,11.1M,74.8%,Europe,$14B,$3B,12/1/2006
1.0%,,,Below Threshold,"$113,874",Below 1.5%,81,Not Clustered,Liechtenstein,,,,"$112,512",$4B,,,,,64%,,83,79,82%,1,,,,0.0M,14.7%,Europe,,,12/1/2006
1.0%,75%,469347,Below Threshold,"$32,162",Below 1.5%,82,Friendly,Italy,13,,181830,"$28,128","$1,870B",8.8%,"$2,818",340,0.004,38%,0.056,84,79,136%,1,0.141,0.661,0.198,58.1M,67.9%,Europe,$42B,$27B,12/1/2006
1.0%,28%,41877,Below Threshold,"$54,116",Below 1.5%,82,Very Friendly,Switzerland,18,,27084,"$51,568",$405B,10.4%,"$5,643",63,0.004,76%,0.03,84,79,99%,1,0.16,0.68,0.16,7.5M,73.5%,Europe,$13B,$11B,12/1/2006
1.0%,,,Below Threshold,"$48,758",Below 1.5%,82,Friendly,San Marino,,,,"$46,880",$1B,5.1%,"$3,444",,0.004,50%,0.067,85,79,58%,1,,,,0.0M,94.0%,Europe,,,12/1/2006
1.1%,,546,Below Threshold,"$34,485",Below 1.5%,,Not Clustered,Andorra,,,,"$32,816",$3B,6.0%,"$2,631",,0.003,49%,,,,84%,1,,,,0.1M,89.8%,Europe,,,12/1/2006
1.1%,49%,16190,Below Threshold,"$12,473",Below 1.5%,73,Very Friendly,Estonia,35,,5038,"$9,376",$17B,5.0%,$620,81,0.005,64%,0.05,78,67,126%,1,0.151,0.679,0.17,1.3M,68.6%,Europe,$1B,$1B,12/1/2006
1.1%,20%,10939,Below Threshold,"$3,133",Below 1.5%,75,Very Friendly,North Macedonia,18,,2924,$0,$7B,7.8%,$246,192,0.012,29%,0.113,77,72,60%,1,0.192,0.694,0.113,2.1M,57.4%,Europe,$0B,$0B,12/1/2006
1.1%,48%,66197,Below Threshold,"$39,497",Below 1.5%,80,Very Friendly,Finland,14,,37334,"$37,504",$208B,8.3%,"$3,302",269,0.003,80%,,83,76,108%,1,0.172,0.667,0.161,5.3M,83.0%,Europe,$4B,$4B,12/1/2006
1.1%,45%,167201,Below Threshold,"$41,478",Below 1.5%,80,Very Friendly,Netherlands,8,,76830,"$37,504",$678B,10.7%,"$4,459",250,0.004,84%,0.035,82,78,106%,1,0.183,0.675,0.142,16.3M,83.6%,Europe,$18B,$17B,12/1/2006
1.1%,62%,350037,Below Threshold,"$27,930",Below 1.5%,81,Very Friendly,Spain,47,,141748,"$23,440","$1,240B",8.4%,"$2,371",298,0.005,50%,,84,78,104%,1,0.145,0.687,0.168,44.4M,77.5%,Europe,$58B,$20B,12/1/2006
1.2%,46%,4994,Below Threshold,$951,Below 1.5%,68,Friendly,Moldova,30,,3441,$0,$3B,10.6%,$101,232,0.018,20%,0.181,72,64,37%,1,0.182,0.705,0.113,3.6M,45.2%,Europe,$0B,$0B,12/1/2006
1.2%,32%,55005,Below Threshold,"$50,393",Below 1.5%,78,Very Friendly,Denmark,6,,20252,"$46,880",$274B,9.9%,"$5,017",135,0.004,87%,,80,76,107%,1,0.186,0.66,0.154,5.4M,86.1%,Europe,$6B,$7B,12/1/2006
1.2%,,7789,Below Threshold,"$17,586",Below 1.5%,79,Very Friendly,Cyprus,,,2308,"$14,064",$18B,6.3%,"$1,494",,0.004,36%,0.067,81,77,83%,1,0.195,0.697,0.109,1.0M,68.1%,Europe,$3B,$1B,12/1/2006
1.2%,35%,542041,Below Threshold,"$40,758",Below 1.5%,79,Very Friendly,United Kingdom,13,,218961,"$37,504","$2,480B",8.4%,"$3,423",105,0.005,69%,0.046,81,77,116%,1,0.178,0.662,0.16,60.8M,80.2%,Europe,$44B,$78B,12/1/2006
1.2%,20%,11357,Below Threshold,"$90,016",Below 1.5%,80,Friendly,Luxembourg,26,,4329,"$89,072",$43B,7.7%,"$7,029",59,0.003,73%,,82,77,153%,1,0.184,0.672,0.144,0.5M,87.0%,Europe,$4B,$3B,12/1/2006
1.2%,59%,106834,Below Threshold,"$37,922",Below 1.5%,80,Very Friendly,Belgium,27,,58111,"$37,504",$400B,9.5%,"$3,608",156,0.004,60%,0.075,82,77,93%,1,0.17,0.658,0.172,10.5M,97.4%,Europe,$12B,$18B,12/1/2006
1.2%,54%,49571,Below Threshold,"$43,940",Below 1.5%,81,Very Friendly,Sweden,16,,50207,"$42,192",$399B,8.9%,"$3,947",122,0.003,88%,,83,79,106%,1,0.172,0.655,0.174,9.1M,84.4%,Europe,$10B,$12B,12/1/2006
1.3%,30%,2384,Below Threshold,"$4,371",Below 1.5%,74,Very Friendly,Montenegro,24,,1118,$0,$3B,8.2%,$361,372,0.009,29%,0.112,76,71,104%,1,0.2,0.671,0.129,0.6M,62.4%,Europe,,,12/1/2006
1.3%,65%,382582,Below Threshold,"$35,525",Below 1.5%,81,Very Friendly,France,7,,266793,"$32,816","$2,260B",11.0%,"$3,907",132,0.004,47%,,85,77,84%,1,0.185,0.651,0.165,63.6M,77.4%,Europe,$54B,$39B,12/1/2006
1.3%,41%,44257,Below Threshold,"$72,951",Below 1.5%,81,Very Friendly,Norway,7,,27129,"$70,320",$340B,9.2%,"$6,778",87,0.003,83%,0.047,83,78,104%,1,0.195,0.658,0.147,4.7M,77.9%,Europe,$4B,$11B,12/1/2006
1.4%,57%,3865,Below Threshold,"$3,077",Below 1.5%,77,Friendly,Albania,39,,2068,$0,$9B,6.0%,$168,364,0.017,10%,0.129,80,73,60%,1,0.258,0.654,0.089,3.0M,47.8%,Europe,$1B,$1B,12/1/2006
1.5%,25%,43458,Below Threshold,"$52,174",1.5-3%,80,Very Friendly,Ireland,13,,14607,"$51,568",$223B,7.5%,"$3,982",76,0.004,55%,,82,77,111%,1,0.206,0.683,0.111,4.3M,60.8%,Europe,$8B,$7B,12/1/2006
1.5%,27%,2277,Below Threshold,"$54,814",1.5-3%,82,Very Friendly,Iceland,5,,4159,"$51,568",$17B,9.4%,"$5,205",140,0.002,90%,0.179,83,80,100%,1,0.218,0.664,0.118,0.3M,93.2%,Europe,$1B,$1B,12/1/2006
1.9%,,,Below Threshold,"$2,279",1.5-3%,69,Friendly,Kosovo,,,1966,$0,$4B,,,,,,0.146,71,67,,1,,,,1.7M,,Europe,,,12/1/2006
1.9%,52%,261571,Below Threshold,"$7,738",1.5-3%,73,Friendly,Turkey,6,,93035,"$4,688",$531B,5.8%,$422,254,0.024,18%,,76,69,77%,1,0.281,0.652,0.067,68.6M,68.4%,Europe,$19B,$4B,12/1/2006
,,,Below Threshold,"$170,633",Above 3%,,Not Clustered,Monaco,,,,"$168,768",$6B,3.4%,"$5,671",,0.004,64%,,,,58%,1,,,,0.0M,100.0%,Europe,,,12/1/2007
0.8%,43%,27884,Below Threshold,"$3,950",Below 1.5%,76,Moderate,Bosnia and Herzegovina,63,,5305,$0,$15B,8.6%,$341,368,0.007,28%,0.072,78,73,63%,1,0.184,0.676,0.14,3.9M,39.2%,Europe,$1B,$0B,12/1/2007
0.8%,49%,784016,Below Threshold,"$40,357",Below 1.5%,80,Very Friendly,Germany,18,,330719,"$37,504","$3,320B",10.5%,"$4,231",196,0.004,75%,,82,77,115%,1,0.139,0.662,0.198,82.3M,73.7%,Europe,$49B,$97B,12/1/2007
0.9%,36%,52251,Below Threshold,"$5,277",Below 1.5%,74,Friendly,Serbia,23,,16602,"$4,688",$39B,10.4%,$547,279,0.007,33%,0.111,76,71,105%,1,0.176,0.686,0.139,7.4M,55.1%,Europe,$1B,$1B,12/1/2007
0.9%,21%,24389,Below Threshold,"$13,372",Below 1.5%,76,Friendly,Croatia,22,,9325,"$9,376",$59B,7.5%,"$1,008",196,0.005,41%,0.093,79,72,115%,1,0.157,0.67,0.173,4.4M,56.8%,Europe,$10B,$1B,12/1/2007
0.9%,52%,69141,Below Threshold,"$45,176",Below 1.5%,80,Very Friendly,Austria,25,,33393,"$42,192",$375B,10.3%,"$4,636",170,0.004,69%,,83,77,119%,1,0.155,0.678,0.167,8.3M,65.8%,Europe,$21B,$13B,12/1/2007
0.9%,,2725,Below Threshold,"$18,474",Below 1.5%,80,Friendly,Malta,,,878,"$14,064",$8B,8.5%,"$1,580",,0.006,47%,0.062,82,78,88%,1,0.164,0.698,0.138,0.4M,94.1%,Europe,$1B,$0B,12/1/2007
0.9%,,,Below Threshold,"$55,557",Below 1.5%,83,Friendly,San Marino,,,,"$51,568",$2B,5.0%,"$3,872",,0.003,50%,0.076,85,80,58%,1,,,,0.0M,94.0%,Europe,,,12/1/2007
1.0%,,539,Below Threshold,"$39,923",Below 1.5%,,Not Clustered,Andorra,,,,"$37,504",$3B,6.2%,"$3,012",,0.003,71%,,,,78%,1,,,,0.1M,89.4%,Europe,,,12/1/2007
1.0%,57%,327595,Below Threshold,"$3,075",Below 1.5%,69,Moderate,Ukraine,27,,137343,$0,$143B,6.4%,$194,"2,085",0.012,7%,0.139,74,63,118%,1,0.141,0.698,0.161,46.5M,68.1%,Europe,$5B,$4B,12/1/2007
1.0%,46%,15137,Below Threshold,"$12,170",Below 1.5%,71,Very Friendly,Lithuania,26,,9460,"$9,376",$39B,6.2%,$725,166,0.007,50%,0.069,77,65,154%,1,0.159,0.688,0.154,3.2M,66.8%,Europe,$1B,$1B,12/1/2007
1.0%,46%,100960,Below Threshold,"$8,188",Below 1.5%,73,Friendly,Romania,9,,39757,"$4,688",$171B,5.2%,$414,202,0.015,28%,0.133,76,69,93%,1,0.15,0.701,0.149,20.9M,53.4%,Europe,$2B,$2B,12/1/2007
1.0%,36%,52812,Below Threshold,"$5,581",Below 1.5%,73,Friendly,Bulgaria,32,,20117,"$4,688",$42B,6.8%,$375,616,0.012,34%,0.1,76,69,131%,1,0.133,0.689,0.177,7.5M,71.3%,Europe,$4B,$2B,12/1/2007
1.0%,55%,55859,Below Threshold,"$13,525",Below 1.5%,73,Friendly,Hungary,16,,26729,"$9,376",$136B,7.7%,"$1,038",340,0.007,53%,0.091,77,69,110%,1,0.151,0.689,0.161,10.1M,67.4%,Europe,$6B,$3B,12/1/2007
1.0%,47%,36600,Below Threshold,"$15,649",Below 1.5%,75,Very Friendly,Slovakia,27,,17850,"$14,064",$84B,7.8%,"$1,078",325,0.008,62%,0.08,78,71,112%,1,0.159,0.722,0.119,5.4M,55.3%,Europe,$2B,$2B,12/1/2007
1.0%,43%,315637,Below Threshold,"$11,149",Below 1.5%,76,Very Friendly,Poland,31,,96824,"$9,376",$425B,6.3%,$706,418,0.006,49%,,80,71,108%,1,0.156,0.71,0.133,38.1M,61.2%,Europe,$12B,$8B,12/1/2007
1.0%,43%,60865,Below Threshold,"$22,005",Below 1.5%,79,Very Friendly,Portugal,6,,25302,"$18,752",$232B,10.0%,"$2,185",328,0.003,42%,,82,75,128%,1,0.154,0.671,0.175,10.5M,58.7%,Europe,$13B,$5B,12/1/2007
1.0%,38%,16212,Below Threshold,"$23,462",Below 1.5%,79,Very Friendly,Slovenia,60,,7321,"$23,440",$47B,7.9%,"$1,850",260,0.003,57%,0.059,82,75,96%,1,0.14,0.7,0.16,2.0M,50.3%,Europe,$2B,$1B,12/1/2007
1.0%,49%,98246,Below Threshold,"$27,322",Below 1.5%,80,Friendly,Greece,38,,30217,"$23,440",$305B,9.8%,"$2,682",264,0.004,36%,,82,77,111%,1,0.144,0.668,0.188,11.2M,75.2%,Europe,$16B,$3B,12/1/2007
1.0%,,,Below Threshold,"$130,349",Below 1.5%,82,Not Clustered,Liechtenstein,,,,"$126,576",$5B,,,,,65%,,84,79,91%,1,,,,0.0M,14.6%,Europe,,,12/1/2007
1.0%,75%,462676,Below Threshold,"$36,449",Below 1.5%,82,Friendly,Italy,13,,179599,"$32,816","$2,130B",8.5%,"$3,058",340,0.004,41%,0.063,84,79,151%,1,0.141,0.66,0.199,58.4M,68.0%,Europe,$46B,$33B,12/1/2007
1.0%,28%,38019,Below Threshold,"$59,726",Below 1.5%,82,Very Friendly,Switzerland,18,,25760,"$56,256",$451B,10.2%,"$6,126",63,0.004,77%,0.032,84,79,109%,1,0.157,0.681,0.162,7.6M,73.6%,Europe,$15B,$12B,12/1/2007
1.1%,,,Below Threshold,"$49,817",Below 1.5%,,Not Clustered,Isle of Man,,,,"$46,880",$4B,,,,,,,,,,1,,,,0.1M,51.9%,Europe,,,12/1/2007
1.1%,51%,1667598,Below Threshold,"$9,148",Below 1.5%,68,Moderate,Russia,29,,672591,"$4,688","$1,300B",5.4%,$487,448,0.012,25%,0.1,74,61,119%,1,0.147,0.716,0.137,142.1M,73.6%,Europe,$12B,$23B,12/1/2007
1.1%,121%,60282,Below Threshold,"$4,736",Below 1.5%,71,Friendly,Belarus,48,,28039,"$4,688",$45B,6.4%,$304,987,0.006,20%,0.086,76,65,73%,1,0.15,0.705,0.145,9.6M,73.3%,Europe,$0B,$1B,12/1/2007
1.1%,36%,7928,Below Threshold,"$13,073",Below 1.5%,72,Very Friendly,Latvia,16,,4796,"$9,376",$29B,7.0%,$883,279,0.01,59%,0.109,77,66,102%,1,0.142,0.68,0.178,2.2M,67.9%,Europe,$1B,$1B,12/1/2007
1.1%,20%,11379,Below Threshold,"$3,892",Below 1.5%,75,Very Friendly,North Macedonia,15,,3045,$0,$8B,7.0%,$272,192,0.011,36%,0.102,77,72,86%,1,0.187,0.699,0.114,2.1M,57.2%,Europe,$0B,$0B,12/1/2007
1.1%,48%,123948,Below Threshold,"$17,478",Below 1.5%,77,Friendly,Czech Republic,17,,45845,"$14,064",$180B,6.5%,"$1,144",808,0.004,52%,0.058,80,74,128%,1,0.143,0.712,0.145,10.3M,73.5%,Europe,$8B,$4B,12/1/2007
1.1%,48%,63982,Below Threshold,"$46,514",Below 1.5%,80,Very Friendly,Finland,14,,36803,"$42,192",$246B,8.0%,"$3,751",269,0.003,81%,,83,76,115%,1,0.17,0.668,0.163,5.3M,83.2%,Europe,$4B,$5B,12/1/2007
1.1%,20%,10869,Below Threshold,"$106,920",Below 1.5%,80,Friendly,Luxembourg,26,,4209,"$103,136",$51B,6.8%,"$7,326",59,0.002,79%,,82,77,144%,1,0.182,0.675,0.143,0.5M,87.4%,Europe,$4B,$3B,12/1/2007
1.1%,42%,171766,Below Threshold,"$47,797",Below 1.5%,80,Very Friendly,Netherlands,8,,79350,"$46,880",$783B,10.8%,"$5,150",180,0.004,86%,0.046,82,78,117%,1,0.181,0.674,0.144,16.4M,84.5%,Europe,$20B,$19B,12/1/2007
